Payment_Date,Payment_Total
2018-01-30 17:00:00,9839.399241
2018-01-30 18:00:00,3887.344701
2018-01-30 19:00:00,6746.015
2018-01-30 20:00:00,9604.328362
2018-01-30 21:00:00,11659.274931
2018-01-30 22:00:00,10125.335655
2018-01-30 23:00:00,12664.764965
2018-01-31 00:00:00,6002.6548965
2018-01-31 01:00:00,4262.704885
2018-01-31 02:00:00,1588.322385
2018-01-31 03:00:00,537.7975
2018-01-31 04:00:00,563.845
2018-01-31 05:00:00,322.6785
2018-01-31 06:00:00,798.3875
2018-01-31 07:00:00,498.295
2018-01-31 08:00:00,736.2875
2018-01-31 09:00:00,2136.515885
2018-01-31 10:00:00,4155.065046
2018-01-31 11:00:00,6112.008661
2018-01-31 12:00:00,8151.3725575
2018-01-31 13:00:00,8007.967845
2018-01-31 14:00:00,9990.509908
2018-01-31 15:00:00,7074.190132
2018-01-31 16:00:00,9914.252971
2018-01-31 17:00:00,9675.001382
2018-01-31 18:00:00,8106.384385
2018-01-31 19:00:00,5533.632675
2018-01-31 20:00:00,7738.1086725
2018-01-31 21:00:00,8282.034925
